QX1410	IPR_accession	IPR_description	GO_ID	N2_orthologs
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR036396	Cytochrome P450 superfamily	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR036396	Cytochrome P450 superfamily	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)	cyp-33B1
QX1410.2900	IPR017972	Cytochrome P450, conserved site	GO:0005506(InterPro)|GO:0016705(InterPro)	cyp-33B1
QX1410.6290	IPR028082	Periplasmic binding protein-like I	-	gbb-2
QX1410.6290	IPR002455	GPCR family 3, GABA-B receptor	GO:0004888(PANTHER)|GO:0004965(PANTHER)|GO:0004965(InterPro)|GO:0007186(InterPro)|GO:0007214(PANTHER)|GO:0016020(InterPro)|GO:0038039(PANTHER)	gbb-2
QX1410.6290	IPR017978	GPCR family 3, C-terminal	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.6290	IPR001828	Receptor, ligand binding region	-	gbb-2
QX1410.6290	IPR000337	GPCR, family 3	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.6290	IPR000337	GPCR, family 3	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.6290	IPR000337	GPCR, family 3	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.6290	IPR000337	GPCR, family 3	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.6290	IPR017978	GPCR family 3, C-terminal	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	gbb-2
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR002544	FMRFamide-related peptide-like	GO:0007218(InterPro)	flp-6
QX1410.3004	IPR051041	FMRFamide-related neuropeptide	-	flp-6
QX1410.40191	IPR008906	HAT, C-terminal dimerisation domain	GO:0046983(InterPro)	ets-6, WBGene00017607, WBGene00012524
QX1410.40191	IPR006612	THAP-type zinc finger	-	ets-6, WBGene00017607, WBGene00012524
QX1410.40191	IPR057432	Lin-15A/B-like domain	-	ets-6, WBGene00017607, WBGene00012524
QX1410.40191	IPR040129	Protein lin-15B-like	GO:0040027(InterPro)	ets-6, WBGene00017607, WBGene00012524
QX1410.40191	IPR012337	Ribonuclease H-like superfamily	-	ets-6, WBGene00017607, WBGene00012524
QX1410.40191	IPR006612	THAP-type zinc finger	-	ets-6, WBGene00017607, WBGene00012524
QX1410.34873	IPR005225	Small GTP-binding domain	GO:0005525(InterPro)	rab-35
QX1410.34873	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)	rab-35
QX1410.34873	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)	rab-35
QX1410.34873	IPR050227	Ras-related protein Rab	-	rab-35
QX1410.34873	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	rab-35
QX1410.34873	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	rab-35
QX1410.34873	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)	rab-35
QX1410.34873	IPR041815	Rab35	GO:0003924(InterPro)|GO:0032482(InterPro)	rab-35
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR052229	Collagen VI and Biomineralization Protein PIF	-	WBGene00019570
QX1410.18957	IPR036465	von Willebrand factor A-like domain superfamily	-	WBGene00019570
QX1410.18957	IPR036465	von Willebrand factor A-like domain superfamily	-	WBGene00019570
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR036465	von Willebrand factor A-like domain superfamily	-	WBGene00019570
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR002035	von Willebrand factor, type A	-	WBGene00019570
QX1410.18957	IPR036465	von Willebrand factor A-like domain superfamily	-	WBGene00019570
QX1410.12482	IPR007026	CC domain	-	WBGene00017246, WBGene00017247, WBGene00009604, WBGene00271827, WBGene00022440, WBGene00022445
QX1410.12482	IPR007026	CC domain	-	WBGene00017246, WBGene00017247, WBGene00009604, WBGene00271827, WBGene00022440, WBGene00022445
QX1410.33940	IPR000010	Cystatin domain	GO:0004869(InterPro)	WBGene00016523
QX1410.33940	IPR046350	Cystatin superfamily	-	WBGene00016523
QX1410.24622	IPR013083	Zinc finger, RING/FYVE/PHD-type	-	WBGene00010080
QX1410.39648	IPR029512	Coiled-coil domain-containing protein 154	-	WBGene00016032
QX1410.39126	IPR041647	Inward rectifier potassium channel, C-terminal	-	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(InterPro)|GO:0006813(InterPro)|GO:0016020(InterPro)	irk-1
QX1410.39126	IPR016449	Potassium channel, inwardly rectifying, Kir	GO:0005242(PANTHER)|GO:0005242(InterPro)|GO:0005886(PANTHER)|GO:0006813(InterPro)|GO:0016020(InterPro)|GO:0034765(PANTHER)|GO:1990573(PANTHER)	irk-1
QX1410.39126	IPR014756	Immunoglobulin E-set	-	irk-1
QX1410.39126	IPR013518	Potassium channel, inwardly rectifying, Kir, cytoplasmic	-	irk-1
QX1410.39126	IPR040445	Potassium channel, inwardly rectifying, transmembrane domain	-	irk-1
QX1410.3218	IPR036640	ABC transporter type 1, transmembrane domain superfamily	GO:0005524(InterPro)|GO:0016020(InterPro)	haf-7, haf-8
QX1410.3218	IPR036640	ABC transporter type 1, transmembrane domain superfamily	GO:0005524(InterPro)|GO:0016020(InterPro)	haf-7, haf-8
QX1410.3218	IPR017871	ABC transporter-like, conserved site	GO:0005524(InterPro)|GO:0016887(InterPro)	haf-7, haf-8
QX1410.3218	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)|GO:0140359(InterPro)	haf-7, haf-8
QX1410.3218	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	haf-7, haf-8
QX1410.3218	IPR003593	AAA+ ATPase domain	-	haf-7, haf-8
QX1410.3218	IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524(InterPro)|GO:0016887(InterPro)	haf-7, haf-8
QX1410.3218	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)|GO:0140359(InterPro)	haf-7, haf-8
QX1410.3218	IPR039421	Type 1 protein exporter	GO:0015421(PANTHER)	haf-7, haf-8
QX1410.3218	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-	haf-7, haf-8
QX1410.3218	IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524(InterPro)|GO:0016887(InterPro)	haf-7, haf-8
QX1410.24200	IPR050271	UDP-glycosyltransferase	GO:0008194(PANTHER)	ugt-51, WBGene00015371
QX1410.24200	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	GO:0008194(InterPro)	ugt-51, WBGene00015371
QX1410.24200	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	GO:0008194(InterPro)	ugt-51, WBGene00015371
QX1410.25585	IPR003378	Fringe-like, glycosyltransferase domain	GO:0016020(InterPro)|GO:0016757(InterPro)	WBGene00015361, WBGene00015871, WBGene00008471, WBGene00010162
QX1410.25585	IPR026050	C1GALT1/C1GALT1-specific chaperone 1	GO:0016263(PANTHER)|GO:0016267(PANTHER)	WBGene00015361, WBGene00015871, WBGene00008471, WBGene00010162
QX1410.25610	IPR007130	Diacylglycerol acyltransferase	GO:0008374(InterPro)	WBGene00019464
QX1410.25610	-	-	GO:0004144(PANTHER)|GO:0005789(PANTHER)|GO:0006629(PANTHER)|GO:0008374(PANTHER)|GO:0019432(PANTHER)	WBGene00019464
QX1410.3626	-	-	GO:0005789(PANTHER)	WBGene00011688
QX1410.3626	IPR000849	Sugar phosphate transporter	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)	WBGene00011688
QX1410.3626	IPR036259	MFS transporter superfamily	-	WBGene00011688
QX1410.3626	IPR011701	Major facilitator superfamily	GO:0022857(InterPro)|GO:0055085(InterPro)	WBGene00011688
QX1410.3626	IPR036259	MFS transporter superfamily	-	WBGene00011688
QX1410.3626	IPR020846	Major facilitator superfamily domain	GO:0022857(InterPro)	WBGene00011688
QX1410.3626	IPR036259	MFS transporter superfamily	-	WBGene00011688
QX1410.11541	IPR039175	Mitochondrial import inner membrane translocase subunit TIM22	GO:0008320(PANTHER)|GO:0030943(PANTHER)|GO:0042721(PANTHER)|GO:0042721(InterPro)|GO:0045039(InterPro)|GO:0045039(PANTHER)	WBGene00008164
QX1410.17817	-	-	GO:0003847(PANTHER)	paf-2
QX1410.17817	IPR016715	Platelet-activating factor acetylhydrolase-like, eukaryote	GO:0003847(InterPro)	paf-2
QX1410.17817	IPR029058	Alpha/Beta hydrolase fold	-	paf-2
QX1410.17817	IPR029058	Alpha/Beta hydrolase fold	-	paf-2
QX1410.39673	-	-	GO:0009790(PANTHER)	NA
QX1410.37246	IPR038479	Transthyretin-like superfamily	-	WBGene00015182
QX1410.37246	IPR008588	Protein of unknown function DUF870, Caenorhabditis species	-	WBGene00015182
QX1410.23706	IPR002999	Tudor domain	-	WBGene00021748
QX1410.23706	IPR013894	RecQ mediated genome instability protein 1, OB-fold domain	-	WBGene00021748
QX1410.23706	-	-	GO:0005634(PANTHER)	WBGene00021748
QX1410.23706	IPR042470	RecQ mediated genome instability protein, N-terminal OB-fold domain superfamily	-	WBGene00021748
QX1410.32996	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-	srh-187
QX1410.6911	IPR036589	Homocysteine-binding domain superfamily	-	WBGene00020491
QX1410.6911	IPR036589	Homocysteine-binding domain superfamily	-	WBGene00020491
QX1410.6911	IPR003726	Homocysteine-binding domain	-	WBGene00020491
QX1410.6911	IPR003726	Homocysteine-binding domain	-	WBGene00020491
QX1410.6911	IPR051486	Homocysteine S-methyltransferase	GO:0008898(PANTHER)|GO:0009086(PANTHER)|GO:0033528(PANTHER)	WBGene00020491
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.35690	IPR016187	C-type lectin fold	-	clec-148
QX1410.35690	IPR050111	C-type lectin and snaclec domain-containing protein	-	clec-148
QX1410.35690	IPR016187	C-type lectin fold	-	clec-148
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.35690	IPR016186	C-type lectin-like/link domain superfamily	-	clec-148
QX1410.35690	IPR016186	C-type lectin-like/link domain superfamily	-	clec-148
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.35690	IPR001304	C-type lectin-like	-	clec-148
QX1410.18302	IPR008908	Sarcoglycan alpha/epsilon	GO:0016012(InterPro)|GO:0016012(PANTHER)	sgca-1
QX1410.18302	IPR006644	Dystroglycan-type cadherin-like	GO:0016020(InterPro)	sgca-1
QX1410.18302	IPR015919	Cadherin-like superfamily	GO:0005509(InterPro)|GO:0016020(InterPro)	sgca-1
QX1410.28325	IPR036883	PDCD5-like superfamily	GO:0003677(InterPro)	WBGene00008398
QX1410.28325	IPR002836	PDCD5-like	GO:0003677(InterPro)	WBGene00008398
QX1410.28325	IPR036883	PDCD5-like superfamily	GO:0003677(InterPro)	WBGene00008398
QX1410.28325	IPR002836	PDCD5-like	GO:0003677(InterPro)	WBGene00008398
QX1410.28325	IPR002836	PDCD5-like	GO:0003677(InterPro)|GO:0005634(PANTHER)|GO:0005829(PANTHER)	WBGene00008398
QX1410.36320	IPR038765	Papain-like cysteine peptidase superfamily	-	NA
QX1410.36320	IPR028889	Ubiquitin specific protease UPS, catalytic domain	-	NA
QX1410.39986	IPR016543	Mitochondria fission 1 protein	GO:0000266(InterPro)|GO:0000266(PANTHER)|GO:0000422(PANTHER)|GO:0005741(PANTHER)|GO:0005778(PANTHER)|GO:0016559(PANTHER)|GO:0043653(PANTHER)	fis-2
QX1410.39986	IPR033745	Mitochondria fission protein Fis1, cytosolic domain	-	fis-2
QX1410.39986	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515(InterPro)	fis-2
QX1410.39986	IPR016543	Mitochondria fission 1 protein	GO:0000266(InterPro)	fis-2
QX1410.39986	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515(InterPro)	fis-2
QX1410.39986	IPR028061	Fis1, C-terminal tetratricopeptide repeat	-	fis-2
QX1410.39986	IPR028058	Fis1, N-terminal tetratricopeptide repeat	-	fis-2
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)	dop-4
QX1410.36958	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)	dop-4
QX1410.36958	-	-	GO:0004930(PANTHER)|GO:0005886(PANTHER)|GO:0043410(PANTHER)|GO:0071880(PANTHER)	dop-4
QX1410.152	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)	col-43
QX1410.152	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)	col-43
QX1410.152	IPR008160	Collagen triple helix repeat	-	col-43
QX1410.152	IPR008160	Collagen triple helix repeat	-	col-43
QX1410.797	IPR003677	SXP/RAL-2 family protein Ani s 5-like, cation-binding domain	-	WBGene00008716, WBGene00008717, WBGene00019065, WBGene00235327, WBGene00255731, WBGene00255732, WBGene00255733
QX1410.797	IPR052823	SXP/RAL-2-related	-	WBGene00008716, WBGene00008717, WBGene00019065, WBGene00235327, WBGene00255731, WBGene00255732, WBGene00255733
QX1410.797	IPR016024	Armadillo-type fold	-	WBGene00008716, WBGene00008717, WBGene00019065, WBGene00235327, WBGene00255731, WBGene00255732, WBGene00255733
QX1410.26825	IPR018499	Tetraspanin/Peripherin	GO:0016020(InterPro)	tsp-13
QX1410.26825	IPR008952	Tetraspanin, EC2 domain superfamily	GO:0016020(InterPro)	tsp-13
QX1410.26825	IPR018499	Tetraspanin/Peripherin	GO:0005886(PANTHER)|GO:0016020(InterPro)	tsp-13
QX1410.26825	IPR008952	Tetraspanin, EC2 domain superfamily	GO:0016020(InterPro)	tsp-13
QX1410.19343	IPR001507	Zona pellucida domain	-	cutl-3
QX1410.19343	IPR001507	Zona pellucida domain	-	cutl-3
QX1410.19343	IPR057475	Cuticlin, C-terminal domain	-	cutl-3
QX1410.19343	IPR056953	Cuticlin, N-terminal domain	-	cutl-3
QX1410.19343	IPR051962	Cuticlin domain-containing protein	-	cutl-3
QX1410.8391	IPR050318	DENR/SUI1 Translation Initiation Factor	GO:0001731(PANTHER)|GO:0002188(PANTHER)|GO:0003729(PANTHER)	WBGene00012932
QX1410.8391	IPR036877	SUI1 domain superfamily	GO:0003743(InterPro)|GO:0006413(InterPro)	WBGene00012932
QX1410.8391	IPR048517	DENR, N-terminal domain	-	WBGene00012932
QX1410.8391	IPR046447	DENR, C-terminal domain	-	WBGene00012932
QX1410.8391	IPR001950	SUI1 domain	GO:0003743(InterPro)|GO:0006413(InterPro)	WBGene00012932
QX1410.8391	IPR001950	SUI1 domain	GO:0003743(InterPro)|GO:0006413(InterPro)	WBGene00012932
QX1410.8391	IPR005873	DENR, eukaryotes	GO:0003743(InterPro)	WBGene00012932
QX1410.9394	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)	aak-1
QX1410.9394	IPR028375	KA1 domain/Ssp2, C-terminal	-	aak-1
QX1410.9394	IPR049020	PRKAA1/2, autoinhibitory domain	-	aak-1
QX1410.9394	-	-	GO:0004674(PANTHER)|GO:0005737(PANTHER)|GO:0035556(PANTHER)	aak-1
QX1410.9394	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)	aak-1
QX1410.9394	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)	aak-1
QX1410.9394	IPR011009	Protein kinase-like domain superfamily	-	aak-1
